[2023-08-16 21:13:18][__main__.py][L41][INFO]dataset:
  name: fc_200
  batch_size: 16
  train_set: 0.9
  test_set: 0.1
  fc_path: /mnt/ssd1/mehul_data/research/fc_200_data.npy
  node_sz: 200
  node_feature_sz: 200
  num_classes: 2
  perc_edges: 100
  node: fc
model:
  name: SignedGCN
  num_layers: 2
  hidden_size: 64
  dropout: 0.5
  readout: mean
optimizer:
- name: Adam
  lr: 0.0001
  match_rule: None
  except_rule: None
  no_weight_decay: false
  weight_decay: 0.0001
  lr_scheduler:
    mode: poly
    base_lr: 0.0001
    target_lr: 1.0e-05
    decay_factor: 0.1
    milestones:
    - 0.3
    - 0.6
    - 0.9
    poly_power: 2.0
    lr_decay: 0.98
    warm_up_from: 0.0
    warm_up_steps: 0
training:
  name: Train
  epochs: 100
  l2: 0.0
log_path: result
repeat_time: 4
device: cuda:0
is_wandb: true
project: asd-graph

[2023-08-16 21:13:18][__init__.py][L15][INFO]cfg.dataset.name: fc_200
[2023-08-16 21:13:20][optimizer.py][L66][INFO]Parameters [normal] length [24]
[2023-08-16 21:13:20][__init__.py][L25][INFO]Training: Train
[2023-08-16 21:13:20][Train.py][L35][INFO]#model params: 870273
[2023-08-16 21:13:21][Train.py][L163][INFO]Epoch[1/100] | Train Loss: 0.700 | Train Accuracy: 51.370% | Test Loss: 0.695 | Test Accuracy: 53.659% | Test AUC:0.6495 | Test Sen:0.0000 | Test Spe:1.0000 | Test F1:0.5366 | Test Recall:0.5366 | Test Precision:0.5366 | Best Test Accuracy: 53.659% | Best Test AUC:0.6495 | Best Test Sensitivity:0.0000 | Best Test Specificity:1.0000 | LR:0.0000982
[2023-08-16 21:15:54][Train.py][L163][INFO]Epoch[66/100] | Train Loss: 0.610 | Train Accuracy: 66.301% | Test Loss: 0.668 | Test Accuracy: 67.073% | Test AUC:0.6549 | Test Sen:0.5789 | Test Spe:0.7500 | Test F1:0.6707 | Test Recall:0.6707 | Test Precision:0.6707 | Best Test Accuracy: 68.293% | Best Test AUC:0.6394 | Best Test Sensitivity:0.6316 | Best Test Specificity:0.7273 | LR:0.0000204
[2023-08-16 21:15:55][Train.py][L163][INFO]Epoch[67/100] | Train Loss: 0.608 | Train Accuracy: 68.219% | Test Loss: 0.669 | Test Accuracy: 65.854% | Test AUC:0.6555 | Test Sen:0.5526 | Test Spe:0.7500 | Test F1:0.6585 | Test Recall:0.6585 | Test Precision:0.6585 | Best Test Accuracy: 68.293% | Best Test AUC:0.6394 | Best Test Sensitivity:0.6316 | Best Test Specificity:0.7273 | LR:0.0000198
[2023-08-16 21:15:56][Train.py][L163][INFO]Epoch[68/100] | Train Loss: 0.609 | Train Accuracy: 66.027% | Test Loss: 0.669 | Test Accuracy: 64.634% | Test AUC:0.6555 | Test Sen:0.5526 | Test Spe:0.7273 | Test F1:0.6463 | Test Recall:0.6463 | Test Precision:0.6463 | Best Test Accuracy: 68.293% | Best Test AUC:0.6394 | Best Test Sensitivity:0.6316 | Best Test Specificity:0.7273 | LR:0.0000192
[2023-08-16 21:15:57][Train.py][L163][INFO]Epoch[69/100] | Train Loss: 0.607 | Train Accuracy: 65.890% | Test Loss: 0.670 | Test Accuracy: 65.854% | Test AUC:0.6519 | Test Sen:0.5526 | Test Spe:0.7500 | Test F1:0.6585 | Test Recall:0.6585 | Test Precision:0.6585 | Best Test Accuracy: 68.293% | Best Test AUC:0.6394 | Best Test Sensitivity:0.6316 | Best Test Specificity:0.7273 | LR:0.0000186
[2023-08-16 21:15:57][Train.py][L163][INFO]Epoch[70/100] | Train Loss: 0.607 | Train Accuracy: 68.493% | Test Loss: 0.668 | Test Accuracy: 64.634% | Test AUC:0.6567 | Test Sen:0.5789 | Test Spe:0.7045 | Test F1:0.6463 | Test Recall:0.6463 | Test Precision:0.6463 | Best Test Accuracy: 68.293% | Best Test AUC:0.6394 | Best Test Sensitivity:0.6316 | Best Test Specificity:0.7273 | LR:0.0000181
[2023-08-16 21:15:58][Train.py][L163][INFO]Epoch[71/100] | Train Loss: 0.607 | Train Accuracy: 65.753% | Test Loss: 0.671 | Test Accuracy: 65.854% | Test AUC:0.6543 | Test Sen:0.5526 | Test Spe:0.7500 | Test F1:0.6585 | Test Recall:0.6585 | Test Precision:0.6585 | Best Test Accuracy: 68.293% | Best Test AUC:0.6394 | Best Test Sensitivity:0.6316 | Best Test Specificity:0.7273 | LR:0.0000176
[2023-08-16 21:15:59][Train.py][L163][INFO]Epoch[72/100] | Train Loss: 0.608 | Train Accuracy: 66.438% | Test Loss: 0.669 | Test Accuracy: 65.854% | Test AUC:0.6573 | Test Sen:0.6053 | Test Spe:0.7045 | Test F1:0.6585 | Test Recall:0.6585 | Test Precision:0.6585 | Best Test Accuracy: 68.293% | Best Test AUC:0.6394 | Best Test Sensitivity:0.6316 | Best Test Specificity:0.7273 | LR:0.0000171
[2023-08-16 21:16:00][Train.py][L163][INFO]Epoch[73/100] | Train Loss: 0.603 | Train Accuracy: 69.041% | Test Loss: 0.671 | Test Accuracy: 64.634% | Test AUC:0.6543 | Test Sen:0.5789 | Test Spe:0.7045 | Test F1:0.6463 | Test Recall:0.6463 | Test Precision:0.6463 | Best Test Accuracy: 68.293% | Best Test AUC:0.6394 | Best Test Sensitivity:0.6316 | Best Test Specificity:0.7273 | LR:0.0000166
[2023-08-16 21:16:01][Train.py][L163][INFO]Epoch[74/100] | Train Loss: 0.602 | Train Accuracy: 67.808% | Test Loss: 0.673 | Test Accuracy: 63.415% | Test AUC:0.6531 | Test Sen:0.5526 | Test Spe:0.7045 | Test F1:0.6341 | Test Recall:0.6341 | Test Precision:0.6341 | Best Test Accuracy: 68.293% | Best Test AUC:0.6394 | Best Test Sensitivity:0.6316 | Best Test Specificity:0.7273 | LR:0.0000161
[2023-08-16 21:16:02][Train.py][L163][INFO]Epoch[75/100] | Train Loss: 0.604 | Train Accuracy: 67.123% | Test Loss: 0.672 | Test Accuracy: 64.634% | Test AUC:0.6543 | Test Sen:0.5789 | Test Spe:0.7045 | Test F1:0.6463 | Test Recall:0.6463 | Test Precision:0.6463 | Best Test Accuracy: 68.293% | Best Test AUC:0.6394 | Best Test Sensitivity:0.6316 | Best Test Specificity:0.7273 | LR:0.0000156
[2023-08-16 21:16:02][Train.py][L163][INFO]Epoch[76/100] | Train Loss: 0.601 | Train Accuracy: 68.082% | Test Loss: 0.670 | Test Accuracy: 64.634% | Test AUC:0.6567 | Test Sen:0.5789 | Test Spe:0.7045 | Test F1:0.6463 | Test Recall:0.6463 | Test Precision:0.6463 | Best Test Accuracy: 68.293% | Best Test AUC:0.6394 | Best Test Sensitivity:0.6316 | Best Test Specificity:0.7273 | LR:0.0000152
[2023-08-16 21:16:03][Train.py][L163][INFO]Epoch[77/100] | Train Loss: 0.600 | Train Accuracy: 67.808% | Test Loss: 0.672 | Test Accuracy: 63.415% | Test AUC:0.6543 | Test Sen:0.5526 | Test Spe:0.7045 | Test F1:0.6341 | Test Recall:0.6341 | Test Precision:0.6341 | Best Test Accuracy: 68.293% | Best Test AUC:0.6394 | Best Test Sensitivity:0.6316 | Best Test Specificity:0.7273 | LR:0.0000148
[2023-08-16 21:16:04][Train.py][L163][INFO]Epoch[78/100] | Train Loss: 0.605 | Train Accuracy: 66.027% | Test Loss: 0.670 | Test Accuracy: 65.854% | Test AUC:0.6579 | Test Sen:0.6053 | Test Spe:0.7045 | Test F1:0.6585 | Test Recall:0.6585 | Test Precision:0.6585 | Best Test Accuracy: 68.293% | Best Test AUC:0.6394 | Best Test Sensitivity:0.6316 | Best Test Specificity:0.7273 | LR:0.0000144
[2023-08-16 21:16:05][Train.py][L163][INFO]Epoch[79/100] | Train Loss: 0.600 | Train Accuracy: 68.082% | Test Loss: 0.669 | Test Accuracy: 64.634% | Test AUC:0.6585 | Test Sen:0.5789 | Test Spe:0.7045 | Test F1:0.6463 | Test Recall:0.6463 | Test Precision:0.6463 | Best Test Accuracy: 68.293% | Best Test AUC:0.6394 | Best Test Sensitivity:0.6316 | Best Test Specificity:0.7273 | LR:0.0000140
[2023-08-16 21:16:06][Train.py][L163][INFO]Epoch[80/100] | Train Loss: 0.603 | Train Accuracy: 67.534% | Test Loss: 0.670 | Test Accuracy: 65.854% | Test AUC:0.6585 | Test Sen:0.6053 | Test Spe:0.7045 | Test F1:0.6585 | Test Recall:0.6585 | Test Precision:0.6585 | Best Test Accuracy: 68.293% | Best Test AUC:0.6394 | Best Test Sensitivity:0.6316 | Best Test Specificity:0.7273 | LR:0.0000136
[2023-08-16 21:16:07][Train.py][L163][INFO]Epoch[81/100] | Train Loss: 0.601 | Train Accuracy: 67.808% | Test Loss: 0.669 | Test Accuracy: 64.634% | Test AUC:0.6591 | Test Sen:0.5789 | Test Spe:0.7045 | Test F1:0.6463 | Test Recall:0.6463 | Test Precision:0.6463 | Best Test Accuracy: 68.293% | Best Test AUC:0.6394 | Best Test Sensitivity:0.6316 | Best Test Specificity:0.7273 | LR:0.0000132
[2023-08-16 21:16:07][Train.py][L163][INFO]Epoch[82/100] | Train Loss: 0.597 | Train Accuracy: 67.260% | Test Loss: 0.669 | Test Accuracy: 64.634% | Test AUC:0.6603 | Test Sen:0.5789 | Test Spe:0.7045 | Test F1:0.6463 | Test Recall:0.6463 | Test Precision:0.6463 | Best Test Accuracy: 68.293% | Best Test AUC:0.6394 | Best Test Sensitivity:0.6316 | Best Test Specificity:0.7273 | LR:0.0000129
[2023-08-16 21:16:08][Train.py][L163][INFO]Epoch[83/100] | Train Loss: 0.599 | Train Accuracy: 69.315% | Test Loss: 0.669 | Test Accuracy: 64.634% | Test AUC:0.6597 | Test Sen:0.5789 | Test Spe:0.7045 | Test F1:0.6463 | Test Recall:0.6463 | Test Precision:0.6463 | Best Test Accuracy: 68.293% | Best Test AUC:0.6394 | Best Test Sensitivity:0.6316 | Best Test Specificity:0.7273 | LR:0.0000126
[2023-08-16 21:16:09][Train.py][L163][INFO]Epoch[84/100] | Train Loss: 0.597 | Train Accuracy: 69.863% | Test Loss: 0.669 | Test Accuracy: 65.854% | Test AUC:0.6597 | Test Sen:0.6053 | Test Spe:0.7045 | Test F1:0.6585 | Test Recall:0.6585 | Test Precision:0.6585 | Best Test Accuracy: 68.293% | Best Test AUC:0.6394 | Best Test Sensitivity:0.6316 | Best Test Specificity:0.7273 | LR:0.0000123
[2023-08-16 21:16:10][Train.py][L163][INFO]Epoch[85/100] | Train Loss: 0.597 | Train Accuracy: 67.945% | Test Loss: 0.670 | Test Accuracy: 64.634% | Test AUC:0.6597 | Test Sen:0.5789 | Test Spe:0.7045 | Test F1:0.6463 | Test Recall:0.6463 | Test Precision:0.6463 | Best Test Accuracy: 68.293% | Best Test AUC:0.6394 | Best Test Sensitivity:0.6316 | Best Test Specificity:0.7273 | LR:0.0000120
[2023-08-16 21:16:11][Train.py][L163][INFO]Epoch[86/100] | Train Loss: 0.598 | Train Accuracy: 68.767% | Test Loss: 0.670 | Test Accuracy: 64.634% | Test AUC:0.6603 | Test Sen:0.5789 | Test Spe:0.7045 | Test F1:0.6463 | Test Recall:0.6463 | Test Precision:0.6463 | Best Test Accuracy: 68.293% | Best Test AUC:0.6394 | Best Test Sensitivity:0.6316 | Best Test Specificity:0.7273 | LR:0.0000118
[2023-08-16 21:16:12][Train.py][L163][INFO]Epoch[87/100] | Train Loss: 0.596 | Train Accuracy: 69.589% | Test Loss: 0.668 | Test Accuracy: 64.634% | Test AUC:0.6591 | Test Sen:0.5789 | Test Spe:0.7045 | Test F1:0.6463 | Test Recall:0.6463 | Test Precision:0.6463 | Best Test Accuracy: 68.293% | Best Test AUC:0.6394 | Best Test Sensitivity:0.6316 | Best Test Specificity:0.7273 | LR:0.0000115
[2023-08-16 21:16:12][Train.py][L163][INFO]Epoch[88/100] | Train Loss: 0.598 | Train Accuracy: 68.767% | Test Loss: 0.670 | Test Accuracy: 65.854% | Test AUC:0.6591 | Test Sen:0.6053 | Test Spe:0.7045 | Test F1:0.6585 | Test Recall:0.6585 | Test Precision:0.6585 | Best Test Accuracy: 68.293% | Best Test AUC:0.6394 | Best Test Sensitivity:0.6316 | Best Test Specificity:0.7273 | LR:0.0000113
[2023-08-16 21:16:13][Train.py][L163][INFO]Epoch[89/100] | Train Loss: 0.597 | Train Accuracy: 69.041% | Test Loss: 0.668 | Test Accuracy: 64.634% | Test AUC:0.6621 | Test Sen:0.5789 | Test Spe:0.7045 | Test F1:0.6463 | Test Recall:0.6463 | Test Precision:0.6463 | Best Test Accuracy: 68.293% | Best Test AUC:0.6394 | Best Test Sensitivity:0.6316 | Best Test Specificity:0.7273 | LR:0.0000111
[2023-08-16 21:16:14][Train.py][L163][INFO]Epoch[90/100] | Train Loss: 0.596 | Train Accuracy: 68.493% | Test Loss: 0.670 | Test Accuracy: 64.634% | Test AUC:0.6609 | Test Sen:0.5789 | Test Spe:0.7045 | Test F1:0.6463 | Test Recall:0.6463 | Test Precision:0.6463 | Best Test Accuracy: 68.293% | Best Test AUC:0.6394 | Best Test Sensitivity:0.6316 | Best Test Specificity:0.7273 | LR:0.0000109
[2023-08-16 21:16:15][Train.py][L163][INFO]Epoch[91/100] | Train Loss: 0.595 | Train Accuracy: 67.671% | Test Loss: 0.671 | Test Accuracy: 64.634% | Test AUC:0.6591 | Test Sen:0.5789 | Test Spe:0.7045 | Test F1:0.6463 | Test Recall:0.6463 | Test Precision:0.6463 | Best Test Accuracy: 68.293% | Best Test AUC:0.6394 | Best Test Sensitivity:0.6316 | Best Test Specificity:0.7273 | LR:0.0000107
[2023-08-16 21:16:16][Train.py][L163][INFO]Epoch[92/100] | Train Loss: 0.595 | Train Accuracy: 67.671% | Test Loss: 0.670 | Test Accuracy: 64.634% | Test AUC:0.6609 | Test Sen:0.5789 | Test Spe:0.7045 | Test F1:0.6463 | Test Recall:0.6463 | Test Precision:0.6463 | Best Test Accuracy: 68.293% | Best Test AUC:0.6394 | Best Test Sensitivity:0.6316 | Best Test Specificity:0.7273 | LR:0.0000106
[2023-08-16 21:16:17][Train.py][L163][INFO]Epoch[93/100] | Train Loss: 0.592 | Train Accuracy: 68.904% | Test Loss: 0.671 | Test Accuracy: 65.854% | Test AUC:0.6615 | Test Sen:0.6053 | Test Spe:0.7045 | Test F1:0.6585 | Test Recall:0.6585 | Test Precision:0.6585 | Best Test Accuracy: 68.293% | Best Test AUC:0.6394 | Best Test Sensitivity:0.6316 | Best Test Specificity:0.7273 | LR:0.0000104
[2023-08-16 21:16:17][Train.py][L163][INFO]Epoch[94/100] | Train Loss: 0.595 | Train Accuracy: 68.356% | Test Loss: 0.670 | Test Accuracy: 65.854% | Test AUC:0.6609 | Test Sen:0.6053 | Test Spe:0.7045 | Test F1:0.6585 | Test Recall:0.6585 | Test Precision:0.6585 | Best Test Accuracy: 68.293% | Best Test AUC:0.6394 | Best Test Sensitivity:0.6316 | Best Test Specificity:0.7273 | LR:0.0000103
[2023-08-16 21:16:18][Train.py][L163][INFO]Epoch[95/100] | Train Loss: 0.592 | Train Accuracy: 69.178% | Test Loss: 0.671 | Test Accuracy: 64.634% | Test AUC:0.6585 | Test Sen:0.5789 | Test Spe:0.7045 | Test F1:0.6463 | Test Recall:0.6463 | Test Precision:0.6463 | Best Test Accuracy: 68.293% | Best Test AUC:0.6394 | Best Test Sensitivity:0.6316 | Best Test Specificity:0.7273 | LR:0.0000102
[2023-08-16 21:16:19][Train.py][L163][INFO]Epoch[96/100] | Train Loss: 0.595 | Train Accuracy: 69.863% | Test Loss: 0.670 | Test Accuracy: 65.854% | Test AUC:0.6609 | Test Sen:0.6053 | Test Spe:0.7045 | Test F1:0.6585 | Test Recall:0.6585 | Test Precision:0.6585 | Best Test Accuracy: 68.293% | Best Test AUC:0.6394 | Best Test Sensitivity:0.6316 | Best Test Specificity:0.7273 | LR:0.0000101
[2023-08-16 21:16:20][Train.py][L163][INFO]Epoch[97/100] | Train Loss: 0.595 | Train Accuracy: 67.260% | Test Loss: 0.672 | Test Accuracy: 64.634% | Test AUC:0.6585 | Test Sen:0.5789 | Test Spe:0.7045 | Test F1:0.6463 | Test Recall:0.6463 | Test Precision:0.6463 | Best Test Accuracy: 68.293% | Best Test AUC:0.6394 | Best Test Sensitivity:0.6316 | Best Test Specificity:0.7273 | LR:0.0000101
[2023-08-16 21:16:21][Train.py][L163][INFO]Epoch[98/100] | Train Loss: 0.590 | Train Accuracy: 68.767% | Test Loss: 0.669 | Test Accuracy: 65.854% | Test AUC:0.6615 | Test Sen:0.6053 | Test Spe:0.7045 | Test F1:0.6585 | Test Recall:0.6585 | Test Precision:0.6585 | Best Test Accuracy: 68.293% | Best Test AUC:0.6394 | Best Test Sensitivity:0.6316 | Best Test Specificity:0.7273 | LR:0.0000100
[2023-08-16 21:16:22][Train.py][L163][INFO]Epoch[99/100] | Train Loss: 0.592 | Train Accuracy: 68.767% | Test Loss: 0.670 | Test Accuracy: 64.634% | Test AUC:0.6597 | Test Sen:0.5789 | Test Spe:0.7045 | Test F1:0.6463 | Test Recall:0.6463 | Test Precision:0.6463 | Best Test Accuracy: 68.293% | Best Test AUC:0.6394 | Best Test Sensitivity:0.6316 | Best Test Specificity:0.7273 | LR:0.0000100
[2023-08-16 21:16:22][Train.py][L163][INFO]Epoch[100/100] | Train Loss: 0.590 | Train Accuracy: 69.589% | Test Loss: 0.669 | Test Accuracy: 65.854% | Test AUC:0.6615 | Test Sen:0.6053 | Test Spe:0.7045 | Test F1:0.6585 | Test Recall:0.6585 | Test Precision:0.6585 | Best Test Accuracy: 68.293% | Best Test AUC:0.6394 | Best Test Sensitivity:0.6316 | Best Test Specificity:0.7273 | LR:0.0000100
[2023-08-16 21:16:33][__main__.py][L41][INFO]dataset:
  name: fc_200
  batch_size: 16
  train_set: 0.9
  test_set: 0.1
  fc_path: /mnt/ssd1/mehul_data/research/fc_200_data.npy
  node_sz: 200
  node_feature_sz: 200
  num_classes: 2
  perc_edges: 100
  node: fc
model:
  name: SignedGCN
  num_layers: 2
  hidden_size: 64
  dropout: 0.5
  readout: mean
optimizer:
- name: Adam
  lr: 0.0001
  match_rule: None
  except_rule: None
  no_weight_decay: false
  weight_decay: 0.0001
  lr_scheduler:
    mode: poly
    base_lr: 0.0001
    target_lr: 1.0e-05
    decay_factor: 0.1
    milestones:
    - 0.3
    - 0.6
    - 0.9
    poly_power: 2.0
    lr_decay: 0.98
    warm_up_from: 0.0
    warm_up_steps: 0
training:
  name: Train
  epochs: 100
  l2: 0.0
log_path: result
repeat_time: 4
device: cuda:0
is_wandb: true
project: asd-graph
steps_per_epoch: 46.0
total_steps: 4600.0

[2023-08-16 21:16:33][__init__.py][L15][INFO]cfg.dataset.name: fc_200
[2023-08-16 21:16:35][optimizer.py][L66][INFO]Parameters [normal] length [24]
[2023-08-16 21:16:35][__init__.py][L25][INFO]Training: Train
[2023-08-16 21:16:35][Train.py][L35][INFO]#model params: 870273
[2023-08-16 21:16:36][Train.py][L163][INFO]Epoch[1/100] | Train Loss: 0.703 | Train Accuracy: 50.959% | Test Loss: 0.693 | Test Accuracy: 53.659% | Test AUC:0.6609 | Test Sen:0.0000 | Test Spe:1.0000 | Test F1:0.5366 | Test Recall:0.5366 | Test Precision:0.5366 | Best Test Accuracy: 53.659% | Best Test AUC:0.6609 | Best Test Sensitivity:0.0000 | Best Test Specificity:1.0000 | LR:0.0000982
[2023-08-16 21:16:36][Train.py][L163][INFO]Epoch[2/100] | Train Loss: 0.697 | Train Accuracy: 51.644% | Test Loss: 0.690 | Test Accuracy: 53.659% | Test AUC:0.6352 | Test Sen:0.0000 | Test Spe:1.0000 | Test F1:0.5366 | Test Recall:0.5366 | Test Precision:0.5366 | Best Test Accuracy: 53.659% | Best Test AUC:0.6609 | Best Test Sensitivity:0.0000 | Best Test Specificity:1.0000 | LR:0.0000964
[2023-08-16 21:16:37][Train.py][L163][INFO]Epoch[3/100] | Train Loss: 0.709 | Train Accuracy: 49.589% | Test Loss: 0.690 | Test Accuracy: 53.659% | Test AUC:0.6950 | Test Sen:0.0000 | Test Spe:1.0000 | Test F1:0.5366 | Test Recall:0.5366 | Test Precision:0.5366 | Best Test Accuracy: 53.659% | Best Test AUC:0.6609 | Best Test Sensitivity:0.0000 | Best Test Specificity:1.0000 | LR:0.0000947
[2023-08-16 21:16:38][Train.py][L163][INFO]Epoch[4/100] | Train Loss: 0.701 | Train Accuracy: 51.644% | Test Loss: 0.696 | Test Accuracy: 46.341% | Test AUC:0.5173 | Test Sen:1.0000 | Test Spe:0.0000 | Test F1:0.4634 | Test Recall:0.4634 | Test Precision:0.4634 | Best Test Accuracy: 53.659% | Best Test AUC:0.6609 | Best Test Sensitivity:0.0000 | Best Test Specificity:1.0000 | LR:0.0000929
[2023-08-16 21:16:39][Train.py][L163][INFO]Epoch[5/100] | Train Loss: 0.704 | Train Accuracy: 50.822% | Test Loss: 0.691 | Test Accuracy: 53.659% | Test AUC:0.7123 | Test Sen:0.0000 | Test Spe:1.0000 | Test F1:0.5366 | Test Recall:0.5366 | Test Precision:0.5366 | Best Test Accuracy: 53.659% | Best Test AUC:0.6609 | Best Test Sensitivity:0.0000 | Best Test Specificity:1.0000 | LR:0.0000912
[2023-08-16 21:16:40][Train.py][L163][INFO]Epoch[6/100] | Train Loss: 0.697 | Train Accuracy: 53.288% | Test Loss: 0.710 | Test Accuracy: 46.341% | Test AUC:0.4539 | Test Sen:1.0000 | Test Spe:0.0000 | Test F1:0.4634 | Test Recall:0.4634 | Test Precision:0.4634 | Best Test Accuracy: 53.659% | Best Test AUC:0.6609 | Best Test Sensitivity:0.0000 | Best Test Specificity:1.0000 | LR:0.0000895
[2023-08-16 21:16:41][Train.py][L163][INFO]Epoch[7/100] | Train Loss: 0.695 | Train Accuracy: 51.233% | Test Loss: 0.690 | Test Accuracy: 53.659% | Test AUC:0.6471 | Test Sen:0.0000 | Test Spe:1.0000 | Test F1:0.5366 | Test Recall:0.5366 | Test Precision:0.5366 | Best Test Accuracy: 53.659% | Best Test AUC:0.6609 | Best Test Sensitivity:0.0000 | Best Test Specificity:1.0000 | LR:0.0000878
[2023-08-16 21:16:42][Train.py][L163][INFO]Epoch[8/100] | Train Loss: 0.698 | Train Accuracy: 52.192% | Test Loss: 0.689 | Test Accuracy: 54.878% | Test AUC:0.6471 | Test Sen:0.0263 | Test Spe:1.0000 | Test F1:0.5488 | Test Recall:0.5488 | Test Precision:0.5488 | Best Test Accuracy: 54.878% | Best Test AUC:0.6471 | Best Test Sensitivity:0.0263 | Best Test Specificity:1.0000 | LR:0.0000862
[2023-08-16 21:16:42][Train.py][L163][INFO]Epoch[9/100] | Train Loss: 0.696 | Train Accuracy: 53.014% | Test Loss: 0.690 | Test Accuracy: 57.317% | Test AUC:0.6358 | Test Sen:0.0789 | Test Spe:1.0000 | Test F1:0.5732 | Test Recall:0.5732 | Test Precision:0.5732 | Best Test Accuracy: 57.317% | Best Test AUC:0.6358 | Best Test Sensitivity:0.0789 | Best Test Specificity:1.0000 | LR:0.0000845
[2023-08-16 21:16:43][Train.py][L163][INFO]Epoch[10/100] | Train Loss: 0.692 | Train Accuracy: 53.699% | Test Loss: 0.689 | Test Accuracy: 53.659% | Test AUC:0.6633 | Test Sen:0.0000 | Test Spe:1.0000 | Test F1:0.5366 | Test Recall:0.5366 | Test Precision:0.5366 | Best Test Accuracy: 57.317% | Best Test AUC:0.6358 | Best Test Sensitivity:0.0789 | Best Test Specificity:1.0000 | LR:0.0000829
[2023-08-16 21:16:44][Train.py][L163][INFO]Epoch[11/100] | Train Loss: 0.695 | Train Accuracy: 51.233% | Test Loss: 0.687 | Test Accuracy: 54.878% | Test AUC:0.6471 | Test Sen:0.0263 | Test Spe:1.0000 | Test F1:0.5488 | Test Recall:0.5488 | Test Precision:0.5488 | Best Test Accuracy: 57.317% | Best Test AUC:0.6358 | Best Test Sensitivity:0.0789 | Best Test Specificity:1.0000 | LR:0.0000813
[2023-08-16 21:16:45][Train.py][L163][INFO]Epoch[12/100] | Train Loss: 0.693 | Train Accuracy: 50.411% | Test Loss: 0.691 | Test Accuracy: 48.780% | Test AUC:0.6316 | Test Sen:0.9737 | Test Spe:0.0682 | Test F1:0.4878 | Test Recall:0.4878 | Test Precision:0.4878 | Best Test Accuracy: 57.317% | Best Test AUC:0.6358 | Best Test Sensitivity:0.0789 | Best Test Specificity:1.0000 | LR:0.0000797
[2023-08-16 21:16:46][Train.py][L163][INFO]Epoch[13/100] | Train Loss: 0.686 | Train Accuracy: 56.164% | Test Loss: 0.684 | Test Accuracy: 56.098% | Test AUC:0.6573 | Test Sen:0.0526 | Test Spe:1.0000 | Test F1:0.5610 | Test Recall:0.5610 | Test Precision:0.5610 | Best Test Accuracy: 57.317% | Best Test AUC:0.6358 | Best Test Sensitivity:0.0789 | Best Test Specificity:1.0000 | LR:0.0000781
[2023-08-16 21:16:47][Train.py][L163][INFO]Epoch[14/100] | Train Loss: 0.690 | Train Accuracy: 54.932% | Test Loss: 0.684 | Test Accuracy: 58.537% | Test AUC:0.6483 | Test Sen:0.1842 | Test Spe:0.9318 | Test F1:0.5854 | Test Recall:0.5854 | Test Precision:0.5854 | Best Test Accuracy: 58.537% | Best Test AUC:0.6483 | Best Test Sensitivity:0.1842 | Best Test Specificity:0.9318 | LR:0.0000766
[2023-08-16 21:16:47][Train.py][L163][INFO]Epoch[15/100] | Train Loss: 0.686 | Train Accuracy: 56.301% | Test Loss: 0.682 | Test Accuracy: 56.098% | Test AUC:0.6579 | Test Sen:0.0526 | Test Spe:1.0000 | Test F1:0.5610 | Test Recall:0.5610 | Test Precision:0.5610 | Best Test Accuracy: 58.537% | Best Test AUC:0.6483 | Best Test Sensitivity:0.1842 | Best Test Specificity:0.9318 | LR:0.0000750
[2023-08-16 21:16:48][Train.py][L163][INFO]Epoch[16/100] | Train Loss: 0.686 | Train Accuracy: 53.973% | Test Loss: 0.679 | Test Accuracy: 57.317% | Test AUC:0.6585 | Test Sen:0.0789 | Test Spe:1.0000 | Test F1:0.5732 | Test Recall:0.5732 | Test Precision:0.5732 | Best Test Accuracy: 58.537% | Best Test AUC:0.6483 | Best Test Sensitivity:0.1842 | Best Test Specificity:0.9318 | LR:0.0000735
[2023-08-16 21:16:49][Train.py][L163][INFO]Epoch[17/100] | Train Loss: 0.686 | Train Accuracy: 53.699% | Test Loss: 0.677 | Test Accuracy: 56.098% | Test AUC:0.6555 | Test Sen:0.0789 | Test Spe:0.9773 | Test F1:0.5610 | Test Recall:0.5610 | Test Precision:0.5610 | Best Test Accuracy: 58.537% | Best Test AUC:0.6483 | Best Test Sensitivity:0.1842 | Best Test Specificity:0.9318 | LR:0.0000720
[2023-08-16 21:16:50][Train.py][L163][INFO]Epoch[18/100] | Train Loss: 0.681 | Train Accuracy: 56.849% | Test Loss: 0.675 | Test Accuracy: 56.098% | Test AUC:0.6525 | Test Sen:0.0789 | Test Spe:0.9773 | Test F1:0.5610 | Test Recall:0.5610 | Test Precision:0.5610 | Best Test Accuracy: 58.537% | Best Test AUC:0.6483 | Best Test Sensitivity:0.1842 | Best Test Specificity:0.9318 | LR:0.0000705
[2023-08-16 21:16:51][Train.py][L163][INFO]Epoch[19/100] | Train Loss: 0.681 | Train Accuracy: 56.164% | Test Loss: 0.673 | Test Accuracy: 59.756% | Test AUC:0.6567 | Test Sen:0.1579 | Test Spe:0.9773 | Test F1:0.5976 | Test Recall:0.5976 | Test Precision:0.5976 | Best Test Accuracy: 59.756% | Best Test AUC:0.6567 | Best Test Sensitivity:0.1579 | Best Test Specificity:0.9773 | LR:0.0000690
